记录个数：
15

序号	学号	姓名	成绩1	成绩2	成绩3	平均成绩
1	90	yu	76.00	56.00	67.00	66.33
2	13	yu	76.00	67.00	56.00	66.33
3	15	yu	67.00	76.00	67.00	70.00
4	01	uu	87.00	67.00	57.00	70.33
5	04	gf	63.00	87.00	65.00	71.67
6	11	oi	97.00	56.00	64.00	72.33
7	05	xx	67.00	78.00	76.00	73.67
8	02	td	76.00	65.00	87.00	76.00
9	07	ll	76.00	76.00	76.00	76.00
10	06	uu	78.00	87.00	68.00	77.67
11	03	gf	87.00	76.00	78.00	80.33
12	09	yy	78.00	76.00	87.00	80.33
13	10	jj	87.00	78.00	76.00	80.33
14	08	yu	98.00	78.00	76.00	84.00
15	14	yu	78.00	78.00	98.00	84.67
